sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.8666;2.9416;6.0429;-2.6552;1.9863;9.229;-0.2681;-0.0571;-1.5329;0.2036;-1.9856;0.6028;2.4;-20.58;12.0;-26.11;60.26;-11.69;16.05;5.0;64.834;;;;NaN;;;;0 / 0;15568;2021-03-12 21:37:52:946
-0.7203;-1.9213;12.6927;-4.5117;-0.5498;8.6898;2.5493;0.4925;-0.9471;-6.1176;1.2905;0.6404;2.7;-9.22;13.71;-24.46;36.74;-19.87;15.49;5.0;62.941;;;;NaN;;;;0 / 0;16067;2021-03-12 21:37:53:445
-1.9516;0.3065;13.9;-2.3258;0.0175;9.5268;-0.424;0.9758;4.3111;-2.4851;0.2315;0.7614;2.7;-8.2;20.67;-15.64;29.87;-5.52;18.66;5.0;60.633;;;;NaN;;;;0 / 0;16567;2021-03-12 21:37:53:945
-0.7347;2.0457;6.6849;-0.753;3.0852;9.2782;0.0539;-1.4933;-0.8133;0.3166;1.0901;0.0323;2.7;-0.47;14.04;-24.05;5.33;-18.34;4.64;5.0;62.317;;;;NaN;;;;0 / 0;17067;2021-03-12 21:37:54:445
-3.638;-0.7571;10.7668;-1.9821;-1.3678;9.5064;-0.1958;1.1984;1.8574;-0.7003;0.6841;-0.7502;3.0;-20.77;18.7;-10.69;51.85;8.02;11.78;5.0;56.316;;;;NaN;;;;0 / 0;17567;2021-03-12 21:37:54:945
-0.6916;-0.0911;9.5163;-1.971;-0.9483;9.5596;1.3793;1.1455;-0.8162;-1.382;1.1545;-0.5893;3.9;-21.34;18.43;-9.09;52.02;5.55;11.65;5.0;49.21;;;;NaN;;;;0 / 0;18068;2021-03-12 21:37:55:446
-3.5757;-0.9822;12.8796;-1.0337;-1.9423;9.5566;-2.3439;0.8867;3.1582;-0.7976;-0.3242;2.1898;3.0;-19.52;17.48;-11.32;49.3;-6.98;5.18;5.0;48.86;;;;NaN;;;;0 / 0;18567;2021-03-12 21:37:55:945
-0.2891;-0.7954;9.8852;-2.1306;-0.7086;9.5461;1.2026;-0.7424;-2.0011;-3.1301;0.4848;0.7512;3.3;-0.9;21.64;-7.65;7.57;-12.16;15.24;5.0;59.748;;;;NaN;;;;0 / 0;19067;2021-03-12 21:37:56:445
-0.9071;-0.4792;10.4793;-0.2439;0.3116;9.7987;-0.242;0.509;1.3312;2.0722;-0.8058;-1.3519;3.3;-17.43;18.84;-11.9;41.78;-1.82;1.43;5.0;51.512;;;;NaN;;;;0 / 0;19567;2021-03-12 21:37:56:945
-2.354;2.8745;6.4836;-1.0901;2.9692;9.2826;2.2386;-1.1964;-0.3614;2.3141;-0.579;-0.4021;3.3;-27.18;7.99;-18.46;72.91;-4.5;8.75;5.0;57.388;;;;NaN;;;;0 / 0;20067;2021-03-12 21:37:57:445
